Type,Year,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,Line,Avg vs Line,Line Consistency,Bet Priority,Bet Flag,Actual,W/L,line_val,wl,ha,venue
Tackle,2026.0,2.0,Touk Miller,GCS,RIC,FwdMid,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,5.0,25%,50%,,,1.0,1.0,5.0,1.0,away,MCG
Tackle,2026.0,2.0,Caleb Windsor,MEL,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,3.0,50%,100%,,,3.0,0.0,3.0,0.0,away,Optus Stadium
Tackle,2026.0,2.0,Jack Steele,MEL,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,7.5,150%,100%,,,9.0,-1.0,7.5,-1.0,away,Optus Stadium
Tackle,2026.0,2.0,Kysaiah Pickett,MEL,FRE,FwdMid,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,4.0,-43%,0%,,,5.0,-1.0,4.0,-1.0,away,Optus Stadium
Tackle,2026.0,2.0,Tristan Xerri,NTH,WCE,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,6.5,-35%,0%,4,Tackle + Strong Unders DvP + Avg <15% → 79.3% WR (23/29),9.0,-1.0,6.5,-1.0,away,Optus Stadium
Tackle,2026.0,2.0,Harry Sheezel,NTH,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,4.5,-10%,0%,,,4.0,1.0,4.5,1.0,away,Optus Stadium
Tackle,2026.0,2.0,Jack Graham,WCE,NTH,FwdMid,✅ Neutral,✅ Neutral,🔷 Moderate Easy,7.5,-6%,0%,6,GenF Tackle + excl Slight Unders DvP → 69.8% WR (37/53),7.0,1.0,7.5,1.0,home,Optus Stadium
Tackle,2026.0,2.0,Luke Davies-Uniacke,NTH,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,4.5,-10%,0%,,,4.0,1.0,4.5,1.0,away,Optus Stadium
Tackle,2026.0,2.0,Harley Reid,WCE,NTH,FwdMid,✅ Neutral,✅ Neutral,🔷 Moderate Easy,3.5,75%,100%,,,5.0,-1.0,3.5,-1.0,home,Optus Stadium
Tackle,2026.0,2.0,Luke Jackson,FRE,MEL,Ruck,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.0,-38%,0%,,,2.0,1.0,5.0,1.0,home,Optus Stadium
Tackle,2026.0,2.0,Tom Powell,NTH,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,3.5,250%,100%,,,2.0,1.0,3.5,1.0,away,Optus Stadium
Tackle,2026.0,2.0,Tom McCarthy,WCE,NTH,InsM,✅ Neutral,✅ Neutral,🔷 Moderate Easy,3.5,-30%,0%,,,3.0,1.0,3.5,1.0,home,Optus Stadium
Tackle,2026.0,2.0,Connor Rozee,PTA,ESS,InsM,✅ Neutral,✅ Neutral,🔷 Moderate Easy,3.5,17%,100%,,,3.0,1.0,3.5,1.0,home,Adelaide Oval
Tackle,2026.0,2.0,Darcy Parish,ESS,PTA,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.0,0%,0%,,,3.0,1.0,4.0,1.0,away,Adelaide Oval
Tackle,2026.0,2.0,Jye Caldwell,ESS,PTA,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,6.5,-7%,0%,,,6.0,1.0,6.5,1.0,away,Adelaide Oval
Tackle,2026.0,2.0,Sam Durham,ESS,PTA,FwdMid,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.0,0%,0%,,,7.0,-1.0,4.0,-1.0,away,Adelaide Oval
Tackle,2026.0,2.0,Zach Merrett,ESS,PTA,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.0,100%,100%,,,4.0,0.0,4.0,0.0,away,Adelaide Oval
Tackle,2026.0,2.0,Willem Drew,PTA,ESS,InsM,✅ Neutral,✅ Neutral,🔷 Moderate Easy,5.5,38%,100%,,,5.0,1.0,5.5,1.0,home,Adelaide Oval
Tackle,2026.0,2.0,Zak Butters,PTA,ESS,InsM,✅ Neutral,✅ Neutral,🔷 Moderate Easy,5.0,-29%,0%,,,6.0,-1.0,5.0,-1.0,home,Adelaide Oval
Tackle,2026.0,2.0,Jason Horne-Francis,PTA,ESS,FwdMid,✅ Neutral,✅ Neutral,🟠 Moderate Unders,3.0,0%,0%,6,GenF Tackle + excl Slight Unders DvP → 69.8% WR (37/53),2.0,1.0,3.0,1.0,home,Adelaide Oval
Tackle,2026.0,2.0,Deven Robertson,WCE,NTH,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,6.0,-50%,0%,,,4.0,1.0,6.0,1.0,home,Optus Stadium
