player,team,position,most_common_pos,notes
Touk Miller,GCS,FwdMid,HFFL,
Wil Powell,GCS,InsM,C,
Will Graham,GCS,FwdMid,HFFR,
Bailey Smith,GEE,InsM,C,
Brad Close,GEE,MedF,HFFL,
Connor O'Sullivan,GEE,GenD,BPL,
Jack Henry,GEE,KeyD,FB,
Jack Martin,GEE,FwdMid,HFFR,
Jeremy Cameron,GEE,KeyF,FPL,Tall forward - reclassify to KeyF
Lawson Humphries,GEE,GenD,HBFR,
Mark Blicavs,GEE,Wing,WL,
Mark O'Connor,GEE,InsM,C,
Max Holmes,GEE,InsM,R,
Mitch Knevitt,GEE,MedF,FPL,
Mitchell Edwards,GEE,Ruck,RK,
Oisin Mullin,GEE,GenD,CHB,
Oliver Dempsey,GEE,Wing,WR,
Patrick Dangerfield,GEE,FwdMid,FPR,Plays forward-mid split
Sam De Koning,GEE,KeyD,BPR,
Shannon Neale,GEE,KeyF,FF,
Shaun Mannagh,GEE,MedF,CHF,
Tanner Bruhn,GEE,Wing,WR,
Tom Atkins,GEE,InsM,RR,
Tom Stewart,GEE,GenD,HBFL,
Zach Guthrie,GEE,KeyD,CHB,
Callum Brown,GWS,MedF,HFFR,
Clayton Oliver,GWS,InsM,C,
Connor Idun,GWS,GenD,BPR,
Finn Callaghan,GWS,InsM,R,
Harvey Thomas,GWS,Wing,WR,
Jack Buckley,GWS,KeyD,FB,
Jake Riccardi,GWS,KeyF,FPR,
Jake Stringer,GWS,MedF,FPL,
Jayden Laverde,GWS,GenD,BPL,
Jesse Hogan,GWS,KeyF,FF,
Joe Fonti,GWS,GenD,CHB,
Josaia Delana,GWS,FwdMid,HFFL,
Kieren Briggs,GWS,Ruck,RK,
Lachie Ash,GWS,GenD,HBFR,
Lachie Whitfield,GWS,GenD,CHB,
Max Gruzewski,GWS,MedF,FPR,
Phoenix Gothard,GWS,SmF,CHF,
Ryan Angwin,GWS,Wing,WL,
Stephen Coniglio,GWS,FwdMid,HFFR,Moved forward but primarily a mid
