Type,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,TOG Trend,CBA Trend,Role Status,Score,Bet Flag,Avg vs Line,Line Consistency,Overall Score,Bet Confidence,Line,Actual,W/L,Uncertain Role,Notes,Avg v Line CALC,Line Consistency CALC
Disposal,10,Brennan Cox,FRE,GWS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,5 - Consider,,1%,44%,5,Consider,12,6,1,,,0,0
Disposal,10,Jordan Clark,FRE,GWS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,📈 Increasing,⚠️ Flat,📉 LOW USAGE,5 - Consider,,2%,56%,5.5,Consider,23,21,1,,,0,0.5
Disposal,10,Karl Worner,FRE,GWS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,📉 Declining,⚠️ Flat,📉 LOW USAGE,6 - Good Play,,6%,50%,6,Consider,13,8,1,,,0,0
Disposal,12,Sam De Koning,GEE,WCE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,7.0 - Good Play,🟢 STRONG BET,-10%,73%,9,,15.5,12,1,,,1,1
Disposal,11,Liam Ryan,WCE,ADE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,⚠️ Flat,📈 Increasing,⚠️ UNSTABLE,7.0 - Consider,,1%,63%,7.5,Consider,12,11,1,,Negative - Role Change,0,0.5
Mark,10,Connor O'Sullivan,GEE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,📈 Increasing,⚠️ Flat,📉 LOW USAGE,5 - Consider,,41%,22%,3.5,Weak,4.5,3,1,,,0,0
Mark,11,Mitch McGovern,CAR,GWS,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,📉 Declining,⚠️ Flat,⚠️ UNSTABLE,8.0 - Good Play,,0%,60%,8.5,Consider,5,3,1,,,0,0.5
Mark,11,Oliver Hollands,CAR,GWS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,📉 Declining,⚠️ Flat,📉 LOW USAGE,7.0 - Consider,,14%,60%,7.5,Consider,5,3,1,,,0,0.5
Mark,11,Nick Haynes,CAR,GWS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,6.0 - Consider,,21%,50%,6,AVOID,7,8,-1,,,0,0
Mark,11,Sam Taylor,GWS,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,6.5 - Consider,,0%,60%,7,Consider,6,7,-1,,,0,0.5
Mark,12,Nathan Broad,RIC,GWS,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,7.0 - Good Play,🟢 STRONG BET,14%,46%,7,,5.5,7,-1,,,0,0
Mark,12,Ben Miller,RIC,GWS,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,6.0 - Good Play,🟢 STRONG BET,16%,36%,6,,5,6,-1,,,0,0
Mark,10,Alex Pearce,FRE,GWS,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,5 - Consider,,14%,33%,6,Consider,4.5,2,1,,,0,0
Mark,10,Tom McDonald,MEL,BRL,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,📉 Declining,⚠️ Flat,📉 LOW USAGE,6 - Good Play,,7%,78%,7.5,Good Play,6,6,0,,,0,1
Mark,10,Steven May,MEL,BRL,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,📈 Increasing,⚠️ Flat,📉 LOW USAGE,5 - Consider,,0%,67%,6.5,Consider,6,8,-1,,,0,0.5
Mark,10,Jake Bowey,MEL,BRL,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,📉 Declining,⚠️ Flat,📉 LOW USAGE,6 - Good Play,,-2%,67%,7.5,Good Play,6,8,-1,,,0,0.5
Mark,10,Noah Balta,RIC,NTH,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4 - Consider,,4%,65%,6.5,Consider,5.5,2,1,,,0,0.5
Mark,12,Hayden McLean,SYD,ADE,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,📉 Declining,⚠️ Flat,⚠️ UNSTABLE,6.0 - Good Play,🟢 STRONG BET,6%,60%,6.5,,3.5,1,1,,,0,0.5
Mark,11,Jake Waterman,WCE,ADE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,8.0 - Good Play,,7%,57%,8.5,Consider,6,4,1,,,0,0.5
Mark,11,Oscar Allen,WCE,ADE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,📉 Declining,⚠️ Flat,📉 LOW USAGE,9.0 - Good Play,,-9%,75%,11,Good Play,4,4,0,,,1,1
Mark,10,Nick Blakey,SYD,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,📉 Declining,⚠️ Flat,📉 LOW USAGE,5 - Consider,,9%,78%,7,Consider,5,1,1,,,0,1
Mark,10,Tom McCartin,SYD,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,📈 Increasing,⚠️ Flat,📉 LOW USAGE,4 - Consider,,13%,44%,5,Consider,5,5,0,,,0,0
Mark,12,Jake Lloyd,SYD,ADE,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,6.0 - Good Play,🟢 STRONG BET,11%,46%,6,,6.5,3,1,,,0,0
Mark,10,Max Holmes,GEE,PTA,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,⚠️ Flat,📉 Declining,⚠️ UNSTABLE,4 - Consider,,16%,44%,6.5,Consider,4.5,5,-1,,,0,0
Mark,11,Alex Pearce,FRE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,📉 Declining,⚠️ Flat,📉 LOW USAGE,11.3 - Good Play,,7%,40%,9,Consider,4.5,7,-1,,,0,0
Mark,11,Nick Larkey,NTH,COL,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,6.0 - Consider,,3%,50%,6,AVOID,4,4,0,,,0,0
Mark,11,Jack Darling,NTH,COL,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,6.0 - Consider,,10%,50%,6,AVOID,3,5,-1,,,0,0
Mark,12,Nic Martin,ESS,BRL,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,⚠️ Flat,📈 Increasing,⚠️ UNSTABLE,8.0 - Good Play,🟢 STRONG BET,14%,40%,8,,7,7,0,1,,0,0
Mark,11,Harry Himmelberg,GWS,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,⚠️ UNSTABLE,7.5 - Consider,,15%,40%,7.5,Consider,6,4,1,,,0,0
Mark,11,Connor Idun,GWS,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,6.5 - Consider,,1%,50%,6.5,AVOID,7,5,1,,,0,0
Mark,11,Lachie Whitfield,GWS,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,6.5 - Consider,,6%,50%,6.5,AVOID,7,5,1,,,0,0
Mark,10,Ed Langdon,MEL,BRL,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,📉 Declining,⚠️ Flat,⚠️ UNSTABLE,4 - Consider,,27%,33%,5.5,Consider,5,6,-1,,,0,0
Tackle,10,Kysaiah Pickett,MEL,BRL,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,📉 Declining,📈 Increasing,⚠️ UNSTABLE,4 - Consider,,-4%,83%,8.5,Good Play,4,3,1,1,,0,1
Tackle,10,Jack Macrae,STK,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,🎯 STABLE,5 - Consider,,13%,56%,6,Consider,5,3,1,,,0,0.5
Tackle,10,Jack Steele,STK,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,📈 Increasing,⚠️ Flat,🎯 STABLE,5 - Consider,,50%,25%,5.5,Consider,5,14,-1,,,0,0
Tackle,11,Kade Chandler,MEL,SYD,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,7.0 - Consider,,10%,70%,8,Consider,3,4,-1,1,,0,1
Tackle,12,Lloyd Meek,HAW,COL,Ruck,✅ Neutral,✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,⚠️ UNSTABLE,5.0 - Consider,🟢 STRONG BET,-10%,70%,7,,4,4,0,,,1,1
Tackle,11,Tom Powell,NTH,COL,InsM,✅ Neutral,🔵 Avoid (Rain),🟠 Moderate Unders,📉 Declining,⚠️ Flat,⚠️ UNSTABLE,9.0 - Good Play,,16%,40%,9,Consider,4.5,3,1,,,0,0
Tackle,12,James Rowbottom,SYD,ADE,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,⚠️ Flat,📉 Declining,⚠️ UNSTABLE,5.0 - Consider,🟢 STRONG BET,11%,55%,5.5,,6.5,9,-1,,,0,0.5
Tackle,12,Chad Warner,SYD,ADE,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,⚠️ Flat,⚠️ Flat,⚠️ UNSTABLE,5.0 - Consider,🟢 STRONG BET,-5%,65%,5.5,,4,4,0,1,,0,0.5
Tackle,11,Luke Davies-Uniacke,NTH,COL,InsM,✅ Neutral,🔵 Avoid (Rain),🟠 Moderate Unders,⚠️ Flat,📉 Declining,⚠️ UNSTABLE,9.0 - Good Play,,0%,60%,9.5,Consider,4,4,0,,,0,0.5
Tackle,11,George Wardlaw,NTH,COL,InsM,✅ Neutral,🔵 Avoid (Rain),🟠 Moderate Unders,📈 Increasing,📉 Declining,⚠️ UNSTABLE,7.0 - Consider,,0%,50%,7,Consider,5.5,4,1,,,0,0
Disposal,12,Luke Jackson,FRE,GCS,Ruck,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔴 Strong Unders,📈 Increasing,📈 Increasing,⚠️ UNSTABLE,10.0 - Strong Play,🟢 STRONG BET,10%,38%,10,,16,27,-1,1,,0,0
Disposal,10,Toby Nankervis,RIC,NTH,Ruck,✅ Neutral,✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,🎯 STABLE,4 - Consider,,7%,56%,4.5,Consider,16,15,1,,,0,0.5
Disposal,12,Rowan Marshall,STK,MEL,Ruck,✅ Neutral,✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,🎯 STABLE,4.0 - Consider,🟡 CONSIDER,6%,55%,4.5,,16.5,16,1,,,0,0.5
Disposal,12,Brodie Grundy,SYD,ADE,Ruck,✅ Neutral,✅ Neutral,🔴 Strong Unders,📈 Increasing,📈 Increasing,🎯 STABLE,5.5 - Consider,🟡 CONSIDER,7%,46%,5.5,,16,23,-1,,,0,0
Disposal,12,Jake Lloyd,SYD,ADE,Wing,✅ Neutral,✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,7.5 - Good Play,🟢 STRONG BET,6%,46%,7.5,,20,11,1,,,0,0
Disposal,11,Zak Butters,PTA,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,🎯 STABLE,7.0 - Consider,,-1%,57%,7.5,Consider,28,24,1,,,0,0.5
Disposal,11,Willem Drew,PTA,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,⚠️ Flat,📉 Declining,⚠️ UNSTABLE,9.0 - Good Play,,2%,70%,10,Good Play,18,23,-1,,,0,1
Disposal,11,Miles Bergman,PTA,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,📈 Increasing,📈 Increasing,⚠️ UNSTABLE,7.0 - Consider,,-10%,60%,8.5,Consider,19.5,23,-1,,,1,0.5
Disposal,12,Matt Rowell,GCS,FRE,InsM,✅ Neutral,⚠️ Medium Unders Edge (Rain),🔴 Strong Unders,📈 Increasing,⚠️ Flat,⚠️ UNSTABLE,9.0 - Strong Play,🚫 SKIP - Position,6%,40%,9,,23,27,-1,,,0,0
Disposal,12,Noah Anderson,GCS,FRE,InsM,✅ Neutral,⚠️ Medium Unders Edge (Rain),🔴 Strong Unders,⚠️ Flat,⚠️ Flat,🎯 STABLE,6.0 - Good Play,🚫 SKIP - Position,8%,50%,6,,28,39,-1,,,0,0
Disposal,12,Touk Miller,GCS,FRE,InsM,✅ Neutral,⚠️ Medium Unders Edge (Rain),🔴 Strong Unders,⚠️ Flat,⚠️ Flat,🎯 STABLE,6.0 - Good Play,🚫 SKIP - Position,5%,50%,6,,25,24,1,,,0,0
Disposal,10,Finn Callaghan,GWS,FRE,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,📈 Increasing,📈 Increasing,⚠️ UNSTABLE,4 - Consider,,2%,50%,6.5,Consider,26.5,24,1,,,0,0
Disposal,10,Tom Green,GWS,FRE,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,📈 Increasing,📈 Increasing,⚠️ UNSTABLE,4 - Consider,,9%,25%,6,Consider,30.5,25,1,,,0,0
Disposal,10,Patrick Lipinski,COL,ADE,Wing,✅ Neutral,✅ Neutral,🔴 Strong Unders,📉 Declining,⚠️ Flat,📉 LOW USAGE,6 - Good Play,,8%,33%,7,Consider,18.5,5,1,,,0,0
Disposal,10,Nasiah Wanganeen-Milera,STK,WCE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,⚠️ UNSTABLE,5 - Consider,,1%,44%,7,Consider,27.5,27,1,,,0,0
Disposal,10,Sam Banks,RIC,NTH,Wing,✅ Neutral,✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,5 - Consider,,-17%,88%,9,Good Play,22,25,-1,,,2,1
Disposal,10,Hugo Ralphsmith,RIC,NTH,Wing,✅ Neutral,✅ Neutral,🔴 Strong Unders,📈 Increasing,⚠️ Flat,📉 LOW USAGE,5 - Consider,,-8%,80%,8.5,Good Play,13,16,-1,,,1,1
Disposal,10,Callum Wilkie,STK,WCE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,7 - Good Play,,4%,44%,7.5,Good Play,18,24,-1,,,0,0
Disposal,10,Isaac Heeney,SYD,CAR,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,⚠️ Flat,📉 Declining,🎯 STABLE,5 - Consider,,-4%,78%,7,Consider,22.5,38,-1,,,0,1
Disposal,10,Chad Warner,SYD,CAR,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,🎯 STABLE,4 - Consider,,-4%,44%,5,Consider,22.5,30,-1,1,,0,0
Mark,11,Eric Hipwood,BRL,HAW,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,📉 Declining,📈 Increasing,📉 LOW USAGE,8.5 - Good Play,,20%,50%,8.5,Consider,4.5,3,1,,,0,0
Mark,11,Harry McKay,CAR,GWS,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,8.0 - Good Play,,0%,38%,8,Consider,6.5,5,1,,,0,0
Mark,11,Charlie Curnow,CAR,GWS,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,📈 Increasing,⚠️ Flat,⚠️ UNSTABLE,7.0 - Consider,,6%,38%,7,Consider,6.5,5,1,,,0,0
Mark,12,Mark Keane,ADE,SYD,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,8.0 - Good Play,🟢 STRONG BET,-11%,46%,9,,4.5,10,-1,,,1,0
Mark,12,Brody Mihocek,COL,HAW,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,6.0 - Good Play,🟢 STRONG BET,33%,56%,6.5,,3,6,-1,,,0,0.5
Mark,11,Steven May,MEL,SYD,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,📈 Increasing,⚠️ Flat,📉 LOW USAGE,6.0 - Consider,,-3%,57%,6.5,AVOID,6.5,5,1,,,0,0.5
Mark,10,Mitch McGovern,CAR,SYD,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,📉 Declining,⚠️ Flat,⚠️ UNSTABLE,5 - Consider,,4%,56%,8,Good Play,5,3,1,,,0,0.5
Mark,10,Jacob Weitering,CAR,SYD,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,📈 Increasing,⚠️ Flat,⚠️ UNSTABLE,4 - Consider,,18%,56%,7,Consider,7,4,1,,,0,0.5
Mark,10,Josh Treacy,FRE,GWS,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,6 - Good Play,,13%,56%,9.5,Good Play,5,2,1,,,0,0.5
Mark,11,Callum Wilkie,STK,GCS,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,8.0 - Good Play,,5%,50%,8,Consider,8,8,0,,,0,0
Mark,11,Brennan Cox,FRE,PTA,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,12.3 - Strong Play,,18%,50%,10,Good Play,4.5,3,1,,,0,0
Mark,11,Luke Ryan,FRE,PTA,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,12.3 - Strong Play,,0%,60%,11,Good Play,6.5,7,-1,,,0,0.5
Mark,11,Heath Chapman,FRE,PTA,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,📈 Increasing,⚠️ Flat,📉 LOW USAGE,10.3 - Good Play,,-9%,67%,10,Good Play,5,9,-1,,,1,0.5
Mark,11,Jordan Clark,FRE,PTA,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,📈 Increasing,⚠️ Flat,📉 LOW USAGE,10.3 - Good Play,,-4%,60%,9.5,Consider,5.5,6,-1,,,0,0.5
Mark,12,Nick Vlastuin,RIC,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,8.0 - Good Play,🚫 SKIP - Position,17%,64%,8.5,,5.5,4,1,,,0,0.5
Mark,12,Tom Brown,RIC,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,📈 Increasing,⚠️ Flat,⚠️ UNSTABLE,7.0 - Good Play,🚫 SKIP - Position,9%,56%,7.5,,4.5,2,1,,,0,0.5
Mark,12,Sam Banks,RIC,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,📈 Increasing,⚠️ Flat,📉 LOW USAGE,7.0 - Good Play,🚫 SKIP - Hybrid Position,-4%,55%,7.5,,5,7,-1,,,0,0.5
Mark,10,Heath Chapman,FRE,GWS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,⚠️ UNSTABLE,4 - Consider,,-8%,63%,9,Good Play,5,4,1,,,1,0.5
Mark,10,Brennan Cox,FRE,GWS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,6 - Good Play,,11%,56%,8.5,Good Play,5,3,1,,,0,0.5
Mark,10,Luke Ryan,FRE,GWS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,📈 Increasing,⚠️ Flat,⚠️ UNSTABLE,4 - Consider,,3%,56%,8,Good Play,6.5,5,1,,,0,0.5
Tackle,12,James Worpel,HAW,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,🎯 STABLE,4.0 - Consider,🚫 SKIP - Position,10%,70%,5,,5,4,1,,,0,1
Tackle,12,Jai Newcombe,HAW,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,📈 Increasing,⚠️ Flat,🎯 STABLE,4.0 - Consider,🚫 SKIP - Position,16%,60%,4.5,,5,3,1,,,0,0.5
Tackle,12,Kamdyn McIntosh,RIC,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,📈 Increasing,📉 Declining,⚠️ UNSTABLE,7.0 - Good Play,🚫 SKIP - Position,7%,58%,7.5,,4,1,1,,,0,0.5
Tackle,12,Jacob Hopper,RIC,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,⚠️ Flat,⚠️ Flat,🎯 STABLE,4.0 - Consider,🚫 SKIP - Position,-14%,73%,6,,4,2,1,,,1,1
Tackle,12,Tim Taranto,RIC,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,📉 Declining,⚠️ Flat,🎯 STABLE,4.0 - Consider,🚫 SKIP - Position,8%,57%,4.5,,4.5,2,1,,,0,0.5
Tackle,11,George Hewett,CAR,GWS,InsM,✅ Neutral,🔵 Avoid (Rain),🔴 Strong Unders,⚠️ Flat,📉 Declining,🎯 STABLE,8.0 - Good Play,,7%,50%,8,Consider,6,1,1,,,0,0
Tackle,11,Patrick Cripps,CAR,GWS,InsM,✅ Neutral,🔵 Avoid (Rain),🔴 Strong Unders,📈 Increasing,📉 Declining,🎯 STABLE,6.0 - Consider,,-3%,50%,6,AVOID,6,7,-1,,,0,0
Tackle,11,Adam Cerra,CAR,GWS,InsM,✅ Neutral,🔵 Avoid (Rain),🔴 Strong Unders,⚠️ Flat,📉 Declining,⚠️ UNSTABLE,6.0 - Consider,,0%,50%,6,AVOID,4.5,6,-1,,,0,0
Tackle,10,Caleb Serong,FRE,GWS,InsM,🟠 Moderate (Long Travel),🔵 Avoid (Rain),🔴 Strong Unders,⚠️ Flat,⚠️ Flat,🎯 STABLE,5 - Consider,,-4%,68%,8.5,Good Play,4.5,3,1,,,0,0.5
Tackle,10,Andrew Brayshaw,FRE,GWS,InsM,🟠 Moderate (Long Travel),🔵 Avoid (Rain),🔴 Strong Unders,📈 Increasing,⚠️ Flat,⚠️ UNSTABLE,4 - Consider,,11%,44%,8,Good Play,6,6,0,,,0,0
Tackle,10,Shaun Mannagh,GEE,PTA,GenF,✅ Neutral,🔵 Avoid (Rain),✅ Neutral,📉 Declining,⚠️ Flat,📉 LOW USAGE,4 - Consider,,33%,33%,4.5,Consider,4.5,2,1,,,0,0
Tackle,11,James Peatling,ADE,WCE,InsM,✅ Neutral,✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,⚠️ UNSTABLE,6.0 - Consider,,0%,78%,7,Consider,5,5,0,1,Negative - Role Change,0,1
Tackle,10,Rowan Marshall,STK,WCE,Ruck,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📈 Increasing,📉 Declining,🎯 STABLE,4 - Consider,,5%,33%,3.5,Weak,3.5,5,-1,,,0,0
Tackle,11,Marcus Windhager,STK,GCS,GenD,✅ Neutral,✅ Neutral,✅ Neutral,📉 Declining,📉 Declining,⚠️ UNSTABLE,7.0 - Consider,,-18%,80%,10,Good Play,4,4,0,1,Role - Unsure,2,1
Tackle,11,Jack Higgins,STK,GCS,GenF,✅ Neutral,✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,⚠️ UNSTABLE,6.0 - Consider,,12%,50%,6,,2.5,1,1,,,0,0
Tackle,11,Ryley Sanders,WBD,GEE,GenF,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,📉 LOW USAGE,5.7 - Consider,,-15%,80%,7.7,AVOID,4,8,-1,1,,1,1
Tackle,11,Tim Kelly,WCE,ADE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📉 Declining,📉 Declining,⚠️ UNSTABLE,9.0 - Good Play,,4%,50%,9,Consider,3.5,3,1,,,0,0
Disposal,10,Patrick Dangerfield,GEE,PTA,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,📈 Increasing,📉 Declining,📉 LOW USAGE,4 - Consider,,5%,67%,3,Weak,16,3,1,,,0,0.5
Disposal,12,Kai Lohmann,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,📈 Increasing,⚠️ Flat,⚠️ UNSTABLE,4.0 - Consider,🚫 SKIP - FalseEdge Sub,-48%,83%,7,,11.5,15,-1,,sub previously?,2,1
Disposal,12,Charlie Cameron,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,📈 Increasing,⚠️ Flat,📉 LOW USAGE,3.0 - Consider,🟡 CONSIDER,-11%,56%,4.5,,11.5,8,-1,,,1,0.5
Disposal,12,Cam Rayner,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,3.0 - Consider,🟡 CONSIDER,-5%,73%,4,,15,14,1,,,0,1
Disposal,12,Lachie Neale,BRL,ESS,InsM,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,⚠️ Flat,📉 Declining,⚠️ UNSTABLE,5.0 - Consider,🚫 SKIP - Position,-6%,55%,6.5,,28.5,26,1,,,1,0.5
Mark,12,Jarrod Berry,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,⚠️ UNSTABLE,4.0 - Consider,🟡 CONSIDER,-2%,60%,4.5,,5.5,9,-1,,,0,0.5
Disposal,12,Callum Ah Chee,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,3.0 - Consider,🟡 CONSIDER,-2%,64%,3.5,,12,13,-1,,,0,0.5
Disposal,12,Levi Ashcroft,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4.0 - Consider,🟡 CONSIDER,-2%,36%,4,,21.5,15,1,,,0,0
Disposal,12,Will Ashcroft,BRL,ESS,InsM,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,⚠️ Flat,⚠️ Flat,⚠️ UNSTABLE,5.0 - Consider,🚫 SKIP - Position,2%,55%,5.5,,26.5,30,-1,,,0,0.5
Mark,12,Jack Payne,BRL,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,📉 LOW USAGE,3.0 - Consider,🟡 CONSIDER,-20%,60%,5.5,,6.5,9,-1,,,2,0.5
Disposal,12,Darcy Fort,BRL,ESS,Ruck,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,📈 Increasing,📈 Increasing,⚠️ UNSTABLE,4.0 - Consider,🟡 CONSIDER,-2%,80%,5,,11,10,1,,,0,1
